id_stacji;stacja;street;nr;postcode;town;phone;email
12295;Bia³ystok;Cio³kowskiego;2/3;15-245;Bia³ystok;(85) 74-86-155;shm.bialystok@imgw.pl
12600;Bielsko Bia³a;Cieszyñska;321;43-303;Bielsko-Bia³a;(33) 81-25-165;shm.bielskobiala@imgw.pl
12235;Chojnice;Meteorologiczna;1;89-600;Chojnice;(52) 39-75-050;shm.chojnice@imgw.pl
12550;Czêstochowa;Oleñki;32;42-200;Czêstochowa;(34) 32-42-930;shm.czestochowa@imgw.pl
12556;DŸwirzyno;;;;;;
12160;Elbl¹g;Szkolna;11;82-316;Milejewo;(55) 23-35-643;shm.milejewo@imgw.pl
12155;Gdañsk;Œwibnieñska;40;80-690;Gdañsk;(58) 30-80-512;shm.swibno@imgw.pl
12300;Gorzów;Sybiraków;10;66-400;Gorzów Wielkopolski;(95) 73-23-264;shm.gorzowwlkp@imgw.pl
12135;Hel;Leœna;13;84-150;Hel;(58) 67-50-411;shm.hel@imgw.pl
12500;Jelenia Góra;Lotnictwa;3;58-500;Jelenia Góra;(75) 75-26-854;shm.jeleniagora@imgw.pl
12435;Kalisz;Ró¿y wiatrów;16;62-800;Kalisz;(62) 76-02-150;shm.kalisz@imgw.pl
12650;Kasprowy Wierch;Sienkiewicza;26c;34-500;Zakopane;(18) 20-19-111;wom.kasprowy@imgw.pl
12560;Katowice;Lotnisko;1;40-271;Katowice;(32) 25-61-213;shm.katowice@imgw.pl
12185;Kêtrzyn;Bydgoska;31;11-400;Kêtrzyn;(89) 75-22-233;shm.ketrzyn@imgw.pl
12570;Kielce;Suków;19 b;26-021;Daleszyce;(41) 30-73-433;shm.kielce@imgw.pl
12520;K³odzko;Dusznicka;9;57-300;K³odzko;(74) 86-72-822;shm.klodzko@imgw.pl
12345;Ko³o;Cegielniana;8;62-600;Ko³o;(63) 27-20-877;shm.kolo@imgw.pl
12100;Ko³obrzeg;Kasprowicza;35;78-100;Ko³obrzeg;(94) 35-23-216;shm.kolobrzeg@imgw.pl
12105;Koszalin;Morska;101;75-235;Koszalin;(94) 34-32-645;shm.koszalin@imgw.pl
12488;Kozienice;Zwoleñska;5;26-900;Kozienice;(48) 61-43-079;shm.kozienice@imgw.pl
12566;Kraków;Kpt.Medweckiego;1;32-083;Kraków;(12) 28-55-072;lsm.balice@imgw.pl
12670;Krosno;Okrzei;99;38-400;Krosno;(13) 43-66-363;shm.krosno@imgw.pl
